task,phase,run,tag,n_trials,mean_reward,trial_rewards,notes
video-silence-remover,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
weighted-gdp-calc,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
xlsx-recover-data,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
3d-scan-calc,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,1.000,"[1.000,1.000,1.000]",
3d-scan-calc,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,1.000,"[1.000,1.000,1.000]",
3d-scan-calc,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,1.000,"[1.000,1.000,1.000]",
3d-scan-calc,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.667,"[0.000,1.000,1.000]",
adaptive-cruise-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.333,"[0.000,0.000,1.000]",
adaptive-cruise-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.667,"[0.000,1.000,1.000]",
adaptive-cruise-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.667,"[1.000,0.000,1.000]",
adaptive-cruise-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,1.000,"[1.000,1.000,1.000]",
citation-check,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
citation-check,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
citation-check,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
citation-check,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
court-form-filling,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.667,"[1.000,0.000,1.000]",
court-form-filling,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.667,"[1.000,0.000,1.000]",
court-form-filling,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,1.000,"[1.000,1.000,1.000]",
court-form-filling,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
dapt-intrusion-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
dapt-intrusion-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
dapt-intrusion-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
dapt-intrusion-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
data-to-d3,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
data-to-d3,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
data-to-d3,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
data-to-d3,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
drone-planning-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
drone-planning-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
drone-planning-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
drone-planning-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
dynamic-object-aware-egomotion,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
dynamic-object-aware-egomotion,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
dynamic-object-aware-egomotion,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
dynamic-object-aware-egomotion,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
edit-pdf,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.333,"[0.000,0.000,1.000]",
edit-pdf,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,1.000,"[1.000,1.000,1.000]",
edit-pdf,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,1.000,"[1.000,1.000,1.000]",
edit-pdf,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
energy-ac-optimal-power-flow,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
energy-ac-optimal-power-flow,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
energy-ac-optimal-power-flow,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
energy-ac-optimal-power-flow,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
energy-market-pricing,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
energy-market-pricing,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
energy-market-pricing,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
energy-market-pricing,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
enterprise-information-search,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
enterprise-information-search,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
enterprise-information-search,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
enterprise-information-search,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
exceltable-in-ppt,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
exceltable-in-ppt,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
exceltable-in-ppt,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
exceltable-in-ppt,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
financial-modeling-qa,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
financial-modeling-qa,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
financial-modeling-qa,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
